DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
230614679,08/31/2023 12:00:00 AM,08/30/2023 12:00:00 AM,2000,6,Hollywood,666,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1822 1300,44,M,K,101,STREET,,,IC,Invest Cont,745.0,,,,FOUNTAIN                     AV,VINE                         ST,34.0944,-118.3266
230814415,09/09/2023 12:00:00 AM,09/08/2023 12:00:00 AM,2153,8,West LA,842,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 0344 0346,0,X,X,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,740.0,,,,1400    COLBY                        AV,,34.0478,-118.4553
230313708,07/17/2023 12:00:00 AM,07/17/2023 12:00:00 AM,1545,3,Southwest,318,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510.0,,,,2300 S  HOOVER                       ST,,34.0348,-118.2876
230706666,03/03/2023 12:00:00 AM,03/03/2023 12:00:00 AM,810,7,Wilshire,705,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 1218 0416 2004,51,M,H,103,ALLEY,308.0,STICK,IC,Invest Cont,230.0,,,,LA BREA,OAKWOOD,34.0846,-118.3464
230116525,07/22/2023 12:00:00 AM,07/20/2023 12:00:00 AM,1845,1,Central,161,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 0352,0,X,X,404,DEPARTMENT STORE,,,IC,Invest Cont,442.0,,,,700 S  FIGUEROA                     ST,,34.0483,-118.2631
231412753,06/21/2023 12:00:00 AM,06/21/2023 12:00:00 AM,1800,14,Pacific,1467,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344,75,F,W,148,PUBLIC RESTROOM/OUTSIDE*,,,IC,Invest Cont,341.0,,,,7100 S  SEPULVEDA                    BL,,33.976,-118.394
230808601,04/25/2023 12:00:00 AM,02/07/2023 12:00:00 AM,630,8,West LA,889,1,510,VEHICLE - STOLEN,,0,,,104,DRIVEWAY,,,IC,Invest Cont,510.0,,,,1900 S  CORNING                      ST,,34.0432,-118.3797
230614268,08/23/2023 12:00:00 AM,08/23/2023 12:00:00 AM,1815,6,Hollywood,677,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 1300 0344 0342,50,F,H,222,LAUNDROMAT,,,IC,Invest Cont,341.0,,,,5900    SANTA MONICA                 BL,,34.0908,-118.3179
230910309,06/07/2023 12:00:00 AM,06/02/2023 12:00:00 AM,1900,9,Van Nuys,923,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510.0,,,,VANOWEN                      ST,VESPER                       AV,34.1939,-118.4509
230609688,05/12/2023 12:00:00 AM,05/12/2023 12:00:00 AM,1350,6,Hollywood,645,2,624,BATTERY - SIMPLE ASSAULT,1251 1815 0913 0400 0448 2024 1259,16,M,H,721,HIGH SCHOOL,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JO,Juv Other,624.0,,,,1500 N  HIGHLAND                     AV,,34.1006,-118.3417
231913095,08/16/2023 12:00:00 AM,08/07/2023 12:00:00 AM,1700,19,Mission,1954,2,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0913 0416 1258 0552,11,M,H,501,SINGLE FAMILY DWELLING,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,627.0,,,,10000    MEMORY PARK                  AV,,34.2523,-118.464
231113310,09/11/2023 12:00:00 AM,09/10/2023 12:00:00 AM,840,11,Northeast,1142,2,354,THEFT OF IDENTITY,0922 0930 1822,44,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,4600    PROSPECT                     AV,,34.1096,-118.2884
230611267,06/15/2023 12:00:00 AM,06/14/2023 12:00:00 AM,1805,6,Hollywood,627,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1300 0344,48,M,W,121,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont,440.0,,,,3000    HOLLYRIDGE                   DR,,34.1237,-118.3185
231404532,01/15/2023 12:00:00 AM,01/14/2023 12:00:00 AM,1600,14,Pacific,1463,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1300,57,M,H,108,PARKING LOT,,,IC,Invest Cont,740.0,,,,12900 W  JEFFERSON                    BL,,33.9805,-118.4111
230611159,06/14/2023 12:00:00 AM,06/13/2023 12:00:00 AM,1800,6,Hollywood,656,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510.0,,,,ROMAINE                      ST,LILLIAN                      WY,34.0889,-118.3277
230304391,01/08/2023 12:00:00 AM,01/08/2023 12:00:00 AM,8,3,Southwest,363,2,354,THEFT OF IDENTITY,1822 0100 0922 0930,43,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,4100    PALMWOOD                     DR,,34.0137,-118.3435
231411628,06/01/2023 12:00:00 AM,05/29/2023 12:00:00 AM,2000,14,Pacific,1475,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0359 0361 0421,47,F,W,101,STREET,511.0,VERBAL THREAT,IC,Invest Cont,930.0,,,,8300    CREIGHTON                    AV,,33.9634,-118.4128
231007923,04/12/2023 12:00:00 AM,04/12/2023 12:00:00 AM,1220,10,West Valley,1004,1,310,BURGLARY,1822 0344 1609 0321,60,M,A,501,SINGLE FAMILY DWELLING,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,310.0,,,,7700    DARBY                        AV,,34.2114,-118.5336
231610637,08/01/2023 12:00:00 AM,07/28/2023 12:00:00 AM,2015,16,Foothill,1695,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 0385 1300,33,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,331.0,,,,11100    LULL                         ST,,34.2093,-118.3725
231813188,07/10/2023 12:00:00 AM,07/10/2023 12:00:00 AM,1110,18,Southeast,1824,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1402 1300 1822,0,X,X,801,MTA BUS,,,IC,Invest Cont,740.0,998.0,,,CENTRAL,105TH                        ST,33.947,-118.2594
230512691,08/25/2023 12:00:00 AM,08/24/2023 12:00:00 AM,2000,5,Harbor,513,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510.0,,,,25200    NORMANDIE                    AV,,33.7958,-118.2975
231707151,03/21/2023 12:00:00 AM,02/27/2023 12:00:00 AM,1205,17,Devonshire,1729,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,28,F,B,404,DEPARTMENT STORE,,,IC,Invest Cont,442.0,,,,11100    BALBOA                       BL,,34.2757,-118.5144
230904650,01/17/2023 12:00:00 AM,01/11/2023 12:00:00 AM,1535,9,Van Nuys,935,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0913 0400 0416 1414 1814 2004,37,F,B,403,DRUG STORE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,14400    ERWIN                        ST,,34.1837,-118.4422
231714087,08/21/2023 12:00:00 AM,08/19/2023 12:00:00 AM,1650,17,Devonshire,1782,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510.0,,,,8900    WINNETKA                     AV,,34.2318,-118.5711
230307316,03/04/2023 12:00:00 AM,03/04/2023 12:00:00 AM,2200,3,Southwest,379,2,624,BATTERY - SIMPLE ASSAULT,0913 0361 0416 0446 0603,20,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,1100    BROWNING                     BL,,34.0121,-118.2945
230110088,04/07/2023 12:00:00 AM,04/07/2023 12:00:00 AM,1545,1,Central,152,1,210,ROBBERY,0344 1822,67,F,O,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,6TH,HILL,34.0473,-118.2531
231604120,01/04/2023 12:00:00 AM,01/03/2023 12:00:00 AM,730,16,Foothill,1657,1,331,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),0344 0385,43,M,W,101,STREET,,,IC,Invest Cont,331.0,,,,10100    AMBER                        CT,,34.2508,-118.2873
231214035,06/16/2023 12:00:00 AM,06/10/2023 12:00:00 AM,2040,12,77th Street,1256,1,815,SEXUAL PENETRATION W/FOREIGN OBJECT,1259 1251 1822 0522 0305 0448 0515,15,F,B,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812.0,815.0,,,900 W  76TH                         ST,,33.9727,-118.285
231505622,02/09/2023 12:00:00 AM,02/09/2023 12:00:00 AM,145,15,N Hollywood,1548,1,210,ROBBERY,0334 0400 0416 0344,30,M,B,102,SIDEWALK,102.0,HAND GUN,IC,Invest Cont,210.0,,,,11100    CHANDLER                     BL,,34.1681,-118.3725
231812362,06/23/2023 12:00:00 AM,06/22/2023 12:00:00 AM,2300,18,Southeast,1826,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0329 1402 1307,34,M,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,998.0,,,9600    EVERS                        AV,,33.949,-118.2471
230105677,01/26/2023 12:00:00 AM,01/25/2023 12:00:00 AM,1710,1,Central,129,1,330,BURGLARY FROM VEHICLE,1609 0344 1307 1822,19,M,H,101,STREET,,,IC,Invest Cont,330.0,,,,700 E  TEMPLE                       ST,,34.0502,-118.2336
231711279,05/31/2023 12:00:00 AM,05/31/2023 12:00:00 AM,1615,17,Devonshire,1762,2,888,TRESPASSING,1501 0216,0,X,X,203,OTHER BUSINESS,,,IC,Invest Cont,888.0,,,,9700    INDEPENDENCE                 AV,,34.2464,-118.5907
231317206,09/11/2023 12:00:00 AM,09/08/2023 12:00:00 AM,1600,13,Newton,1321,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1822,53,M,H,203,OTHER BUSINESS,,,IC,Invest Cont,341.0,,,,1900 S  MAIN                         ST,,34.031,-118.2647
230315252,08/18/2023 12:00:00 AM,08/17/2023 12:00:00 AM,725,3,Southwest,362,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822 1202 1307,60,F,B,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,4000    HILLCREST                    DR,,34.017,-118.3477
230505307,02/04/2023 12:00:00 AM,02/01/2023 12:00:00 AM,2200,5,Harbor,507,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1300 0329,38,M,J,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,22400    HARVARD                      BL,,33.8233,-118.3064
230608388,04/13/2023 12:00:00 AM,04/12/2023 12:00:00 AM,1900,6,Hollywood,678,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510.0,,,,800 N  HOBART                       BL,,34.0852,-118.3051
230312932,06/30/2023 12:00:00 AM,06/30/2023 12:00:00 AM,700,3,Southwest,394,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1606 1822 1202 1402 1300 0344,65,M,B,103,ALLEY,,,IC,Invest Cont,420.0,,,,2500 W  MARTIN LUTHER KING JR        BL,,34.0108,-118.3204
230804312,01/09/2023 12:00:00 AM,01/06/2023 12:00:00 AM,1640,8,West LA,849,1,330,BURGLARY FROM VEHICLE,0344 1606 1822,52,M,O,101,STREET,,,IC,Invest Cont,330.0,,,,1100 S  CORNING                      ST,,34.0572,-118.3773
231406938,03/10/2023 12:00:00 AM,03/09/2023 12:00:00 AM,1900,14,Pacific,1466,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,62,F,W,203,OTHER BUSINESS,,,IC,Invest Cont,745.0,,,,6500 S  SEPULVEDA                    BL,,33.975,-118.4002
230908428,04/21/2023 12:00:00 AM,04/16/2023 12:00:00 AM,1230,9,Van Nuys,981,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420.0,,,,15100    DICKENS                      ST,,34.1518,-118.462
231606056,03/07/2023 12:00:00 AM,03/07/2023 12:00:00 AM,1505,16,Foothill,1681,1,320,"BURGLARY, ATTEMPTED",2004 1607 0329,0,M,W,147,POOL-PUBLIC/OUTDOOR OR INDOOR*,,,AA,Adult Arrest,320.0,998.0,,,8800    LAUREL CANYON                BL,,34.2251,-118.4039
231712425,07/02/2023 12:00:00 AM,06/30/2023 12:00:00 AM,1839,17,Devonshire,1764,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,0,X,X,404,DEPARTMENT STORE,,,IC,Invest Cont,442.0,,,,9300    TAMPA                        AV,,34.244,-118.5583
231409834,05/06/2023 12:00:00 AM,05/05/2023 12:00:00 AM,2210,14,Pacific,1488,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510.0,,,,9700    AIRPORT                      BL,,33.9481,-118.386
232110106,06/08/2023 12:00:00 AM,06/07/2023 12:00:00 AM,1800,21,Topanga,2104,1,330,BURGLARY FROM VEHICLE,0358 0321 0344 0386,27,F,H,108,PARKING LOT,,,IC,Invest Cont,330.0,,,,8800    TOPANGA CANYON               BL,,34.2299,-118.6033
231304899,01/17/2023 12:00:00 AM,01/17/2023 12:00:00 AM,1110,13,Newton,1375,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1300 1822,36,F,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745.0,,,,5700    COMPTON                      AV,,33.9922,-118.2521
230906220,02/27/2023 12:00:00 AM,02/24/2023 12:00:00 AM,1700,9,Van Nuys,955,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1822,66,F,H,108,PARKING LOT,,,IC,Invest Cont,420.0,,,,14200    MAGNOLIA                     BL,,34.1668,-118.4445
231005815,02/16/2023 12:00:00 AM,02/15/2023 12:00:00 AM,2100,10,West Valley,1043,2,624,BATTERY - SIMPLE ASSAULT,0602 0913 0562 0400 0416 1206,35,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,18600    HATTERAS                     ST,,34.1774,-118.5387
231216723,07/31/2023 12:00:00 AM,07/29/2023 12:00:00 AM,1400,12,77th Street,1209,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510.0,,,,400 W  51ST                         ST,,33.9965,-118.2809
230710455,06/04/2023 12:00:00 AM,06/03/2023 12:00:00 AM,2130,7,Wilshire,702,1,352,PICKPOCKET,0344,24,M,W,102,SIDEWALK,,,IC,Invest Cont,352.0,,,,N  FAIRFAX                      AV,MELROSE                      AV,34.0838,-118.3614
231505131,01/27/2023 12:00:00 AM,01/27/2023 12:00:00 AM,930,15,N Hollywood,1503,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1237,0,X,X,717,HEALTH SPA/GYM,,,IC,Invest Cont,740.0,,,,6600    LAUREL CANYON                BL,,34.2003,-118.4002
231809535,04/26/2023 12:00:00 AM,04/25/2023 12:00:00 AM,2000,18,Southeast,1824,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510.0,,,,800 E  99TH                         ST,,33.9465,-118.2608
230910347,06/08/2023 12:00:00 AM,06/07/2023 12:00:00 AM,2300,9,Van Nuys,932,1,310,BURGLARY,0344 0321 0329 0358 1607,29,M,H,704,ELEMENTARY SCHOOL,,,IC,Invest Cont,310.0,,,,6200    NOBLE                        AV,,34.183,-118.4618
231809547,04/25/2023 12:00:00 AM,04/24/2023 12:00:00 AM,2300,18,Southeast,1837,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1822 0385 0344,54,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,420.0,,,,10300    BEACH                        ST,,33.9432,-118.2421
231705969,02/04/2023 12:00:00 AM,01/15/2023 12:00:00 AM,1300,17,Devonshire,1764,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,18,M,H,108,PARKING LOT,,,IC,Invest Cont,745.0,,,,9300    TAMPA                        AV,,34.244,-118.5583
230513583,09/16/2023 12:00:00 AM,09/16/2023 12:00:00 AM,1200,5,Harbor,563,2,624,BATTERY - SIMPLE ASSAULT,0913 0561,43,F,W,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,700 W  14TH                         ST,,33.7315,-118.2924
231107486,04/04/2023 12:00:00 AM,04/04/2023 12:00:00 AM,1200,11,Northeast,1143,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1822 0329,46,F,H,122,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,2700    HYPERION                     AV,,34.1053,-118.2785
230214719,07/29/2023 12:00:00 AM,07/29/2023 12:00:00 AM,2000,2,Rampart,299,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416,62,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,900 W  17TH                         ST,,34.0389,-118.2762
230806841,03/01/2023 12:00:00 AM,01/23/2023 12:00:00 AM,1100,8,West LA,831,1,480,BIKE - STOLEN,0397 0344 1822,31,M,W,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,480.0,,,,1100 S  BUNDY                        DR,,34.0465,-118.4683
232011256,06/07/2023 12:00:00 AM,06/07/2023 12:00:00 AM,2020,20,Olympic,2093,2,900,VIOLATION OF COURT ORDER,2004 1276 0360 0913 2038,39,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,900.0,,,,1900 S  HARVARD                      BL,,34.04,-118.3043
230106567,02/07/2023 12:00:00 AM,01/27/2023 12:00:00 AM,1730,1,Central,182,2,624,BATTERY - SIMPLE ASSAULT,0416 1822 0910,46,M,O,941,MTA - EXPO LINE - PICO,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,1200 S  FLOWER                       ST,,34.0415,-118.2655
230614563,08/22/2023 12:00:00 AM,08/22/2023 12:00:00 AM,1045,6,Hollywood,646,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344,48,M,H,717,HEALTH SPA/GYM,,,IC,Invest Cont,341.0,,,,1500    SCHRADER                     BL,,34.098,-118.3324
230309930,04/26/2023 12:00:00 AM,04/26/2023 12:00:00 AM,800,3,Southwest,328,2,624,BATTERY - SIMPLE ASSAULT,0416 1309 1202,60,M,B,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,SHRINE                       PL,32ND                         ST,34.0243,-118.2806
232008149,04/13/2023 12:00:00 AM,04/11/2023 12:00:00 AM,1700,20,Olympic,2023,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420.0,,,,5TH,SERRANO,34.0654,-118.3066
231315881,08/18/2023 12:00:00 AM,08/15/2023 12:00:00 AM,1400,13,Newton,1325,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 0329 0321,0,F,W,203,OTHER BUSINESS,,,IC,Invest Cont,341.0,,,,3200 S  CENTRAL                      AV,,34.0145,-118.2565
230615339,09/16/2023 12:00:00 AM,09/16/2023 12:00:00 AM,950,6,Hollywood,668,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0601 2004,0,X,X,404,DEPARTMENT STORE,,,IC,Invest Cont,442.0,,,,DE LONGPRE,ST ANDREWS,34.0968,-118.311
230615282,09/15/2023 12:00:00 AM,09/15/2023 12:00:00 AM,418,6,Hollywood,621,2,763,STALKING,0347 1501 0913,51,M,W,501,SINGLE FAMILY DWELLING,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,763.0,,,,8900    WONDERLAND                   AV,,34.1171,-118.3843
230204521,01/14/2023 12:00:00 AM,01/14/2023 12:00:00 AM,345,2,Rampart,212,2,624,BATTERY - SIMPLE ASSAULT,1822 0416 0449,35,F,H,101,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624.0,,,,OAKWOOD,WESTMORELAND,34.0777,-118.288
231305514,01/31/2023 12:00:00 AM,01/31/2023 12:00:00 AM,1530,13,Newton,1395,2,624,BATTERY - SIMPLE ASSAULT,0446 0342 1259 1822 0416,16,F,H,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,NAOMI,41ST                         ST,33.9784,-118.263
230510733,07/05/2023 12:00:00 AM,07/05/2023 12:00:00 AM,2105,5,Harbor,563,2,622,BATTERY ON A FIREFIGHTER,1213 1822 0416 2004,25,M,O,102,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,622.0,,,,12TH                         ST,PACIFIC,33.7333,-118.2879
230905369,02/06/2023 12:00:00 AM,02/06/2023 12:00:00 AM,1651,9,Van Nuys,916,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822,72,F,H,121,YARD (RESIDENTIAL/BUSINESS),,,IC,Invest Cont,440.0,,,,7100    RANCHITO                     AV,,34.1994,-118.4356
230704567,01/13/2023 12:00:00 AM,01/13/2023 12:00:00 AM,1130,7,Wilshire,701,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),1822 0325 0344 0104,0,X,X,203,OTHER BUSINESS,,,AA,Adult Arrest,343.0,,,,8100    MELROSE                      AV,,34.0837,-118.3659
230315065,08/14/2023 12:00:00 AM,08/14/2023 12:00:00 AM,2155,3,Southwest,321,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0334 0416 0445 0913 1243 1813 2000 2033,37,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",102.0,HAND GUN,IC,Invest Cont,236.0,,,,3400    CARMONA                      AV,,34.0247,-118.3669
230312598,06/23/2023 12:00:00 AM,06/23/2023 12:00:00 AM,550,3,Southwest,363,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510.0,,,,4100    MARLTON                      AV,,34.0104,-118.3398
231109087,05/17/2023 12:00:00 AM,05/16/2023 12:00:00 AM,1307,11,Northeast,1127,2,662,"BUNCO, GRAND THEFT",0800 0701 0100 0344 1822,58,F,O,605,AUTOMATED TELLER MACHINE (ATM),,,IC,Invest Cont,662.0,,,,6400 N  FIGUEROA                     ST,,34.12,-118.1893
231811893,06/13/2023 12:00:00 AM,06/13/2023 12:00:00 AM,700,18,Southeast,1802,1,210,ROBBERY,2024 1402 0334 1815 0355 1822,17,M,H,101,STREET,219.0,SCREWDRIVER,JA,Juv Arrest,210.0,998.0,,,BROADWAY,90TH                         ST,33.9546,-118.2782
232013688,08/02/2023 12:00:00 AM,08/02/2023 12:00:00 AM,1450,20,Olympic,2062,2,624,BATTERY - SIMPLE ASSAULT,0416 0446 0917 1822 0444,45,M,H,301,GAS STATION,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,3300 W  OLYMPIC                      BL,,34.0526,-118.3091
230119372,09/06/2023 12:00:00 AM,09/05/2023 12:00:00 AM,2000,1,Central,143,1,330,BURGLARY FROM VEHICLE,1300 0329 0344 1307 1609,26,F,W,108,PARKING LOT,,,IC,Invest Cont,330.0,,,,400 S  SPRING                       ST,,34.0488,-118.25
231808708,04/09/2023 12:00:00 AM,04/08/2023 12:00:00 AM,2300,18,Southeast,1863,1,121,"RAPE, FORCIBLE",1822 0522 0408 0448 0444 1206,25,F,H,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,121.0,,,,AVALON                       BL,IMPERIAL                     HY,33.9306,-118.2652
230211767,06/02/2023 12:00:00 AM,06/02/2023 12:00:00 AM,1400,2,Rampart,238,2,624,BATTERY - SIMPLE ASSAULT,0361 0400 0913 0416,41,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,1200 W  COURT                        ST,,34.063,-118.2543
230411457,08/17/2023 12:00:00 AM,08/15/2023 12:00:00 AM,1154,4,Hollenbeck,439,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 0394,27,M,H,119,"PORCH, RESIDENTIAL",,,IC,Invest Cont,440.0,,,,5100    CAVANAGH                     RD,,34.0691,-118.1732
231218301,08/16/2023 12:00:00 AM,08/06/2023 12:00:00 AM,1220,12,77th Street,1266,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1822 1202,68,F,B,802,MUNICIPAL BUS LINE INCLUDES LADOT/DASH,,,IC,Invest Cont,440.0,,,,7900 S  VERMONT                      AV,,33.9678,-118.2915
231513007,08/01/2023 12:00:00 AM,07/07/2023 12:00:00 AM,1940,15,N Hollywood,1532,1,510,VEHICLE - STOLEN,,0,,,101,STREET,,,IC,Invest Cont,510.0,,,,6100    SHADYGLADE                   AV,,34.1812,-118.402
231509197,05/03/2023 12:00:00 AM,05/03/2023 12:00:00 AM,1210,15,N Hollywood,1515,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 2004,60,M,O,401,MINI-MART,,,IC,Invest Cont,442.0,,,,6600    LANKERSHIM                   BL,,34.1962,-118.3911
230106991,02/13/2023 12:00:00 AM,02/13/2023 12:00:00 AM,1845,1,Central,118,1,330,BURGLARY FROM VEHICLE,0344 1609,29,F,W,101,STREET,,,IC,Invest Cont,330.0,,,,100 W  ELMYRA                       ST,,34.0644,-118.232
232012427,07/05/2023 12:00:00 AM,06/21/2023 12:00:00 AM,2359,20,Olympic,2019,2,624,BATTERY - SIMPLE ASSAULT,0400 0416 0446 0448 1810 1822,35,M,H,501,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,100 S  WESTMORELAND                 AV,,34.0735,-118.2879
231106552,03/08/2023 12:00:00 AM,03/08/2023 12:00:00 AM,1100,11,Northeast,1151,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),1822 0344 0325 0378,0,X,X,402,MARKET,,,AA,Adult Arrest,442.0,,,,1600 N  VERMONT                      AV,,34.0986,-118.2962
